trace_seed,repeat_index,paired_key,candidate,reference,prompt_class,metric,run_statistic,candidate_ms,reference_ms,delta_ms,delta_percent
101,0,seed101-rep0,aged_short_prompt,short_prompt,medium,e2e_latency_ms,median,9866.0940095,10235.840414499999,-369.74640499999805,-3.612272075639423
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,ttft_ms,mean,117.48682875,127.74908445000001,-10.262255700000011,-8.033134440205384
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,ttft_ms,median,88.01942,90.416477,-2.3970570000000038,-2.6511285105700413
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,ttft_ms,p90,101.34909,110.722117,-9.373026999999993,-8.465361080478612
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,ttft_ms,p95,111.586666,117.823287,-6.2366209999999995,-5.293198958199155
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,ttft_ms,max,714.738446,861.516509,-146.7780630000001,-17.03717357318803
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,queue_wait_ms,mean,79.14659505,87.39707465000001,-8.250479600000006,-9.440223981226818
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,queue_wait_ms,median,51.856488,52.738535,-0.882047,-1.6724905232957268
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,queue_wait_ms,p90,56.637225,61.99587,-5.358644999999996,-8.643551578516433
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,queue_wait_ms,p95,63.280863,64.10659,-0.8257270000000005,-1.2880532251052514
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,queue_wait_ms,max,676.538152,809.083663,-132.54551100000003,-16.382176165630977
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,e2e_latency_ms,mean,7673.211353250001,7911.598179399999,-238.38682614999834,-3.013131111368919
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,e2e_latency_ms,median,7181.9754405,7466.837793000001,-284.86235250000027,-3.815033356785286
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,e2e_latency_ms,p90,13209.376408,13587.187987,-377.81157899999926,-2.780645850793286
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,e2e_latency_ms,p95,14695.56891,15008.829768,-313.26085799999964,-2.087177100695061
101,0,seed101-rep0,aged_short_prompt,short_prompt,long,e2e_latency_ms,max,16122.139722,16438.53888,-316.39915800000017,-1.9247401506282789
101,1,seed101-rep1,short_prompt,baseline,overall,ttft_ms,mean,78.00052353333334,89.75876646666667,-11.758242933333335,-13.099826787058113
101,1,seed101-rep1,short_prompt,baseline,overall,ttft_ms,median,60.5564785,69.933176,-9.376697500000006,-13.40808188090872
101,1,seed101-rep1,short_prompt,baseline,overall,queue_wait_ms,mean,42.025370583333334,50.877229283333335,-8.851858700000001,-17.39846847929619
101,1,seed101-rep1,short_prompt,baseline,overall,queue_wait_ms,median,26.038045,27.700849,-1.6628040000000013,-6.002718544835941
101,1,seed101-rep1,short_prompt,baseline,overall,e2e_latency_ms,mean,8937.909539999999,9244.650250383333,-306.74071038333386,-3.318034777687936
101,1,seed101-rep1,short_prompt,baseline,overall,e2e_latency_ms,median,9059.885308500001,9361.094243,-301.2089344999986,-3.2176680063362824
101,1,seed101-rep1,short_prompt,baseline,short,ttft_ms,mean,45.1643816,73.30711915,-28.142737550000007,-38.39018348601959
101,1,seed101-rep1,short_prompt,baseline,short,ttft_ms,median,40.621077,70.322847,-29.701769999999996,-42.23630195176825
101,1,seed101-rep1,short_prompt,baseline,short,queue_wait_ms,mean,7.63645345,33.8777227,-26.24126925,-77.45877573406078
101,1,seed101-rep1,short_prompt,baseline,short,queue_wait_ms,median,0.028228,28.433999,-28.405771,-99.90072448128032
101,1,seed101-rep1,short_prompt,baseline,short,e2e_latency_ms,mean,8637.3926478,9180.775477300002,-543.3828295000021,-5.91870295536088
101,1,seed101-rep1,short_prompt,baseline,short,e2e_latency_ms,median,8530.337779500001,8827.431489999999,-297.09371049999754,-3.365573676063699
101,1,seed101-rep1,short_prompt,baseline,medium,ttft_ms,mean,74.81966165,106.04565434999999,-31.225992699999992,-29.445801330943453
101,1,seed101-rep1,short_prompt,baseline,medium,ttft_ms,median,60.426216,61.7469925,-1.320776500000001,-2.139013491223886
101,1,seed101-rep1,short_prompt,baseline,medium,queue_wait_ms,mean,39.5187514,67.83589045,-28.317139049999994,-41.74359452224158
101,1,seed101-rep1,short_prompt,baseline,medium,queue_wait_ms,median,26.305155499999998,26.5689505,-0.2637950000000018,-0.9928694774752272
101,1,seed101-rep1,short_prompt,baseline,medium,e2e_latency_ms,mean,10448.95819245,10842.9215368,-393.9633443500006,-3.633368949622303
101,1,seed101-rep1,short_prompt,baseline,medium,e2e_latency_ms,median,9978.6717015,10329.755765999998,-351.08406449999893,-3.398764428250849
101,1,seed101-rep1,short_prompt,baseline,long,ttft_ms,mean,114.01752735,89.92352589999999,24.094001450000007,26.793879809377014
101,1,seed101-rep1,short_prompt,baseline,long,ttft_ms,median,86.713612,70.3222375,16.391374499999998,23.30894903621347
101,1,seed101-rep1,short_prompt,baseline,long,ttft_ms,p90,96.393223,100.16588,-3.7726569999999953,-3.766409280285857
101,1,seed101-rep1,short_prompt,baseline,long,ttft_ms,p95,103.16457,101.289716,1.8748539999999991,1.8509815942222596
101,1,seed101-rep1,short_prompt,baseline,long,ttft_ms,max,722.970074,515.852819,207.117255,40.15045520183539
101,1,seed101-rep1,short_prompt,baseline,long,queue_wait_ms,mean,78.9209069,50.9180747,28.002832200000007,54.9958582782
101,1,seed101-rep1,short_prompt,baseline,long,queue_wait_ms,median,52.152158,29.552088,22.60007,76.47537459958836
101,1,seed101-rep1,short_prompt,baseline,long,queue_wait_ms,p90,56.191065,58.450984,-2.2599189999999965,-3.8663489394806363
101,1,seed101-rep1,short_prompt,baseline,long,queue_wait_ms,p95,56.451671,61.537067,-5.085396000000003,-8.263955771567733
101,1,seed101-rep1,short_prompt,baseline,long,queue_wait_ms,max,682.161225,479.652812,202.50841299999996,42.21979063473102
101,1,seed101-rep1,short_prompt,baseline,long,e2e_latency_ms,mean,7727.377779750001,7710.2537370499995,17.124042700001155,0.22209441198692562
101,1,seed101-rep1,short_prompt,baseline,long,e2e_latency_ms,median,7219.345835,7105.2474645,114.09837049999987,1.6058324649503117
101,1,seed101-rep1,short_prompt,baseline,long,e2e_latency_ms,p90,13337.30444,13137.685876,199.61856400000033,1.5194347458456492
101,1,seed101-rep1,short_prompt,baseline,long,e2e_latency_ms,p95,14736.40011,14926.807575,-190.40746500000023,-1.275607420027991
101,1,seed101-rep1,short_prompt,baseline,long,e2e_latency_ms,max,16138.536151,16412.444748,-273.90859700000146,-1.668907961035967
101,1,seed101-rep1,aged_short_prompt,baseline,overall,ttft_ms,mean,79.02862608333334,89.75876646666667,-10.730140383333335,-11.954420504785057
