policy,prompt_class,metric,pooled_n,pooled_mean,pooled_median,pooled_sd,pooled_min,pooled_max,pooled_p90_nearest_rank,pooled_p95_nearest_rank,run_mean_n,run_mean_mean,run_mean_median,run_mean_sd,run_mean_min,run_mean_max,run_mean_p90_nearest_rank,run_mean_p95_nearest_rank,run_median_n,run_median_mean,run_median_median,run_median_sd,run_median_min,run_median_max,run_median_p90_nearest_rank,run_median_p95_nearest_rank
aged_short_prompt,overall,ttft_ms,900,83.2653011,64.60544300000001,108.75029391246376,24.524814,1127.268955,98.593113,107.516131,15,83.2653011,79.3530024,8.730615146642048,76.93479821666666,106.61955549999999,,,15,64.98009503333334,64.86384699999999,2.8470878578682335,60.419626,71.4545315,,
aged_short_prompt,overall,queue_wait_ms,900,45.77488903666667,26.4789225,108.34388283591953,0.017586,1095.858558,56.34588,63.401661,15,45.774889036666664,42.84867891666667,7.311977582492806,40.46069773333333,66.05948871666666,,,15,26.544149933333333,26.1985475,0.8022480361068839,25.744374999999998,28.514878,,
aged_short_prompt,overall,e2e_latency_ms,900,9080.994988444445,9137.509513500001,4427.17891637558,472.487267,17981.975359,15038.421385,15781.514463,15,9080.994988444443,9011.736753316665,274.67248522097725,8875.644177583334,9850.594642516666,,,15,9193.993042,9091.661777000001,279.82874460014926,8965.0455195,9974.4865685,,
aged_short_prompt,short,ttft_ms,300,54.80900710666666,42.294368,61.775237061323566,24.524814,756.87466,72.412012,88.18522,15,54.80900710666666,53.738908349999996,14.21283555631467,42.73467155,101.60842695,,,15,42.3022899,42.279326,3.4109437562447718,34.993742499999996,46.834048,,
aged_short_prompt,short,queue_wait_ms,300,17.71359019666667,0.03293,61.65482554995505,0.017586,725.065915,29.056033,52.911634,15,17.713590196666665,15.28080555,13.111784933328403,7.79675445,60.037816,,,15,0.034565,0.033164,0.006485614796279091,0.0290165,0.0558095,,
aged_short_prompt,short,e2e_latency_ms,300,8388.69215111,7952.3292395,4419.685637014352,472.487267,17604.72391,14771.041881,15550.712094,15,8388.69215111,8705.40313795,1382.3131164228134,6513.8174364,10592.2755099,,,15,7942.678831966667,8567.6790855,1796.5487448149975,5492.1723565,10430.0085265,,
aged_short_prompt,medium,ttft_ms,300,70.30398186333333,64.03659300000001,46.80872205889555,24.532188,372.493438,92.89345,103.993033,15,70.30398186333333,68.02854095000001,7.981423354365055,57.164813,84.9624307,,,15,64.04217166666666,63.31633600000001,4.113383622363293,58.527292,72.019217,,
aged_short_prompt,medium,queue_wait_ms,300,32.77016149333333,26.3412085,46.24378584787008,0.017849,345.770214,54.238599,59.761069,15,32.77016149333333,29.5749254,6.398072155336443,23.06540675,41.4240791,,,15,26.49217786666667,26.255899499999998,0.6723878533718058,25.8455955,28.107235,,
aged_short_prompt,medium,e2e_latency_ms,300,9818.050214996667,10083.4358675,4539.188334302619,959.259231,17111.640307,15323.263309,15657.891441,15,9818.050214996667,10101.97026755,880.0692336241887,8444.8087562,10791.03369415,,,15,10230.8680092,10119.9979135,378.10758225489656,9866.0940095,11081.586127999999,,
aged_short_prompt,long,ttft_ms,300,124.68291433,89.05257,163.85837893691698,31.032515,1127.268955,105.1707,668.248084,15,124.68291432999999,117.48205914999998,14.408033352834297,110.80174084999999,163.9322622,,,15,88.48092483333333,88.6973995,3.4421577998944732,82.8624285,94.016827,,
aged_short_prompt,long,queue_wait_ms,300,86.84091542,52.064987,163.4077291958911,0.027725,1095.858558,60.672869,622.060741,15,86.84091542,79.3468587,13.74108052379511,73.94983235,122.43119885000002,,,15,52.38691176666667,52.015842500000005,1.2320617016355409,50.885917,54.985048,,
aged_short_prompt,long,e2e_latency_ms,300,9036.242599226667,9051.047816,4214.857976431163,492.803232,17981.975359,14783.975788,16135.824592,15,9036.242599226667,8832.12381065,1157.8333035456533,7673.211353250001,10950.0925029,,,15,8754.637452066667,8230.4827035,1509.4919512487766,7181.9754405,11253.0492705,,
